k_min_1,a_t,euler_AIO,euler_linear,rep
0.99236554,1.0,0.0019695163,0.0043689013,8.0
0.994532,1.0,0.0019251108,0.004301071,8.0
0.9966985,1.0,0.0018814206,0.0042341948,8.0
0.99886495,1.0,0.0018379092,0.004167974,8.0
1.0010314,1.0,0.0017949343,0.0041024685,8.0
1.0031979,1.0,0.0017527342,0.00403744,8.0
1.0053644,1.0,0.0017108321,0.003973007,8.0
1.0075308,1.0,0.0016699433,0.0039096475,8.0
1.0096973,1.0,0.0016291738,0.003846705,8.0
1.0118638,1.0,0.001589179,0.0037843585,8.0
1.0140302,1.0,0.0015497208,0.0037227273,8.0
1.0161967,1.0,0.0015107393,0.0036617517,8.0
1.0183632,1.0,0.0014721155,0.0036014318,8.0
1.0205296,1.0,0.001434505,0.0035416484,8.0
1.0226961,1.0,0.0013969541,0.0034825802,8.0
1.0248626,1.0,0.0013602376,0.0034242272,8.0
1.027029,1.0,0.0013241172,0.0033662915,8.0
1.0291955,1.0,0.001288414,0.0033091307,8.0
1.031362,1.0,0.0012532473,0.0032525063,8.0
1.0335286,1.0,0.0012183785,0.0031967163,8.0
1.035695,1.0,0.0011841059,0.003141284,8.0
1.0378615,1.0,0.0011504889,0.003086567,8.0
1.040028,1.0,0.0011172891,0.0030323863,8.0
1.0421944,1.0,0.0010846853,0.0029787421,8.0
1.0443609,1.0,0.00105232,0.002925992,8.0
1.0465274,1.0,0.0010210276,0.0028735995,8.0
1.0486938,1.0,0.0009901524,0.002821803,8.0
1.0508603,1.0,0.00095897913,0.002770722,8.0
1.0530268,1.0,0.000928998,0.0027199984,8.0
1.0551932,1.0,0.0008995533,0.0026700497,8.0
1.0573597,1.0,0.0008704066,0.002620697,8.0
1.0595262,1.0,0.0008416176,0.0025718808,8.0
1.0616927,1.0,0.0008133054,0.0025234818,8.0
1.0638591,1.0,0.0007857084,0.0024757981,8.0
1.0660256,1.0,0.0007585287,0.0024287105,8.0
1.0681921,1.0,0.0007317662,0.0023820996,8.0
1.0703585,1.0,0.0007058382,0.002335906,8.0
1.072525,1.0,0.00067973137,0.0022904873,8.0
1.0746915,1.0,0.0006543994,0.002245605,8.0
1.0768579,1.0,0.00062924623,0.00220114,8.0
1.0790244,1.0,0.00060486794,0.0021573305,8.0
1.081191,1.0,0.00058090687,0.002113998,8.0
1.0833573,1.0,0.00055736303,0.0020711422,8.0
1.0855238,1.0,0.00053423643,0.0020288825,8.0
1.0876904,1.0,0.00051140785,0.0019872189,8.0
1.0898567,1.0,0.0004892349,0.0019459724,8.0
1.0920233,1.0,0.00046753883,0.0019052625,8.0
1.0941898,1.0,0.00044614077,0.0018651485,8.0
1.0963562,1.0,0.00042515993,0.0018254519,8.0
1.0985227,1.0,0.00040453672,0.0017864704,8.0
1.1006892,1.0,0.00038444996,0.001747787,8.0
1.1028557,1.0,0.00036501884,0.00170964,8.0
1.1050221,1.0,0.00034558773,0.0016719699,8.0
1.1071886,1.0,0.00032699108,0.0016348958,8.0
1.1093551,1.0,0.00030827522,0.0015981793,8.0
1.1115215,1.0,0.00029045343,0.0015622973,8.0
1.113688,1.0,0.00027257204,0.0015266538,8.0
1.1158545,1.0,0.0002554059,0.0014912486,8.0
1.1180209,1.0,0.00023847818,0.0014568567,8.0
1.1201874,1.0,0.00022226572,0.0014226437,8.0
1.1223539,1.0,0.00020593405,0.0013889074,8.0
1.1245203,1.0,0.00019031763,0.0013557076,8.0
1.1266868,1.0,0.00017493963,0.0013230443,8.0
1.1288533,1.0,0.00016009808,0.001290679,8.0
1.1310198,1.0,0.00014543533,0.0012589097,8.0
1.1331862,1.0,0.00013124943,0.0012275577,8.0
1.1353527,1.0,0.00011742115,0.001196742,8.0
1.1375192,1.0,0.0001039505,0.0011662841,8.0
1.1396856,1.0,9.095669e-05,0.0011364222,8.0
1.1418521,1.0,7.8201294e-05,0.0011069179,8.0
1.1440187,1.0,6.568432e-05,0.0010778904,8.0
1.146185,1.0,5.352497e-05,0.0010492802,8.0
1.1483516,1.0,4.196167e-05,0.0010210276,8.0
1.1505181,1.0,3.0517578e-05,0.0009934306,8.0
1.1526845,1.0,1.9192696e-05,0.0009661913,8.0
1.154851,1.0,8.46386e-06,0.0009394288,8.0
1.1570175,1.0,1.7881393e-06,0.00091326237,8.0
1.1591839,1.0,1.21593475e-05,0.0008870959,8.0
1.1613504,1.0,2.169609e-05,0.00086164474,8.0
1.1635169,1.0,3.0994415e-05,0.0008366108,8.0
1.1656833,1.0,4.041195e-05,0.00081187487,8.0
1.1678498,1.0,4.8995018e-05,0.0007878542,8.0
1.1700163,1.0,5.7578087e-05,0.0007637739,8.0
1.1721828,1.0,6.604195e-05,0.0007404685,8.0
1.1743492,1.0,7.367134e-05,0.0007175803,8.0
1.1765157,1.0,8.1181526e-05,0.00069499016,8.0
1.1786822,1.0,8.85725e-05,0.00067281723,8.0
1.1808486,1.0,9.548664e-05,0.00065129995,8.0
1.1830151,1.0,0.00010240078,0.0006298423,8.0
1.1851816,1.0,0.00010883808,0.00060892105,8.0
1.187348,1.0,0.000115036964,0.00058853626,8.0
1.1895145,1.0,0.00012099743,0.0005684495,8.0
1.191681,1.0,0.00012660027,0.00054877996,8.0
1.1938474,1.0,0.00013196468,0.00052934885,8.0
1.1960139,1.0,0.00013720989,0.0005104542,8.0
1.1981804,1.0,0.00014185905,0.00049197674,8.0
1.200347,1.0,0.00014674664,0.00047373772,8.0
1.2025133,1.0,0.00015091896,0.00045603514,8.0
1.2046798,1.0,0.0001552105,0.00043863058,8.0
1.2068464,1.0,0.00015890598,0.00042158365,8.0
1.2090127,1.0,0.00016260147,0.00040513277,8.0
1.2111793,1.0,0.00016593933,0.0003888011,8.0
1.2133458,1.0,0.00016903877,0.00037300587,8.0
1.2155122,1.0,0.000172019,0.00035762787,8.0
1.2176787,1.0,0.0001745224,0.0003424883,8.0
1.2198452,1.0,0.00017690659,0.00032782555,8.0
1.2220116,1.0,0.00017929077,0.00031340122,8.0
1.2241781,1.0,0.00018119812,0.00029945374,8.0
1.2263446,1.0,0.00018334389,0.00028592348,8.0
1.228511,1.0,0.00018465519,0.00027245283,8.0
1.2306775,1.0,0.0001860857,0.00025969744,8.0
1.232844,1.0,0.0001872778,0.00024718046,8.0
1.2350104,1.0,0.00018846989,0.0002349019,8.0
1.2371769,1.0,0.00018918514,0.00022298098,8.0
1.2393434,1.0,0.00018954277,0.00021153688,8.0
1.2415099,1.0,0.00019001961,0.00020033121,8.0
1.2436763,1.0,0.00019025803,0.00018972158,8.0
1.2458428,1.0,0.00019061565,0.00017923117,8.0
1.2480093,1.0,0.00019013882,0.00016927719,8.0
1.2501757,1.0,0.00019001961,0.00015950203,8.0
1.2523422,1.0,0.00018966198,0.0001500845,8.0
1.2545087,1.0,0.00018894672,0.00014102459,8.0
1.2566751,1.0,0.00018799305,0.00013232231,8.0
1.2588416,1.0,0.00018715858,0.00012385845,8.0
1.2610081,1.0,0.00018572807,0.00011575222,8.0
1.2631745,1.0,0.00018441677,0.000108003616,8.0
1.265341,1.0,0.00018322468,0.00010049343,8.0
1.2675076,1.0,0.00018143654,9.357929e-05,8.0
1.2696741,1.0,0.00017976761,8.666515e-05,8.0
1.2718405,1.0,0.00017809868,8.022785e-05,8.0
1.274007,1.0,0.00017595291,7.426739e-05,8.0
1.2761735,1.0,0.00017380714,6.830692e-05,8.0
1.2783399,1.0,0.00017154217,6.2823296e-05,8.0
1.2805064,1.0,0.00016915798,5.7697296e-05,8.0
1.2826729,1.0,0.00016653538,5.2928925e-05,8.0
1.2848393,1.0,0.00016379356,4.839897e-05,8.0
1.2870058,1.0,0.00016105175,4.4107437e-05,8.0
1.2891723,1.0,0.00015819073,4.017353e-05,8.0
1.2913387,1.0,0.00015497208,3.671646e-05,8.0
1.2935052,1.0,0.00015199184,3.33786e-05,8.0
1.2956717,1.0,0.00014865398,3.027916e-05,8.0
1.2978381,1.0,0.00014519691,2.7537346e-05,8.0
1.3000046,1.0,0.00014197826,2.5391579e-05,8.0
1.3021711,1.0,0.00013816357,2.3126602e-05,8.0
